Nome;Para que serve?;Como usar?;Quais os males que pode me causar?;Quando não devo usar?;Como funciona?;O que devo saber antes de usar?;O que fazer se alguém usar uma quantidade maior do que a indicada?;Onde como e por quanto tempo posso guardar?;Laboratório
Abilify comprimidos;Abilify comprimidos de 5, 10, 15, 20 ou 30 mg é indicado no tratamento de esquizofrenia em adultos e adolescentes com mais de 15 anos.​;As doses de Abilify variam de acordo com a idade do paciente e a doença a tratar, sendo que as orientações gerais incluem:;Os principais efeitos colaterais do uso de Abilify comprimidos são agitação, insônia, ansiedade, tremores, tonturas, sonolência, dor de cabeça, visão turva, aumento da frequência cardíaca, azia, vômitos, náuseas, obstipação e cansaço excessivo.;O uso de Abilify comprimidos está contraindicado para mulheres a amamentar, crianças com menos de 13 anos e pacientes com hipersensibilidade à substância ativa ou qualquer componente da fórmula do medicamento.;A substância ativa do Abilify comprimidos, conhecida como aripiprazol, é capaz de se ligar aos receptores de dopamina e de serotonina, regulando os impulsos nervosos que são responsáveis por controlar os movimentos voluntários, assim como produzir sensação de bem-estar e prazer.;Antes de tomar Abilify comprimidos é importante informar o médico caso exista gravidez ou o paciente apresente problemas cardíacos, psicose, diabetes mellitus ou intolerância à lactose.;Em caso de superdosagem com Abilify comprimidos acima de 30mg é recomendado ir imediatamente ao pronto-socorro para iniciar o tratamento adequado, que pode ser feito com carvão ativado, por exemplo.;;
Abilify Mycite;O Abilify Mycite é indicado no tratamento da esquizofrenia e transtorno bipolar do tipo I em adultos, isolado ou em combinação com outro medicamentos, assim como em alguns casos de depressão major em combinação com outros medicamentos.;O Abilify MyCite é composto por um comprimido de aripiprazole e um sensor, uma espécie de penso que deteta o sinal do sensor e um aplicativo compatível com o smartphone, que disponibiliza a informação.;Os efeitos adversos mais comuns são náusea, vômito, prisão de ventre, dor de cabeça, vertigem, fadiga, ansiedade, sedação, agitação, contrações musculares involuntárias, insônia, produção excessiva de saliva, boca seca, tremores, aumento do peso, infecções na nasofaringe ou inquietação.;O Abilify MyCite é contraindicado em pessoas com alergia ao aripiprazol ou a qualquer componente do medicamento.;;Em caso de irritação da pele, deve-se remover o patch imediatamente.;;;
Abrilar;Abrilar é um remédio fitoterápico indicado para o tratamento problemas broncopulmonares associados aos aumento de secreções ou a broncoespasmos, em adultos e crianças.;Lactentes e crianças até sete anos de idade: a dose recomendada é de 2,5 ml, tomados 3 vezes por dia.	Crianças acima de sete anos de idade: a dose recomendada é de 5 ml, tomados 3 vezes ao dia.	Adultos: a dose recomendada é de 7,5 ml, tomados 3 vezes por dia.;Alguns dos efeitos colaterais de Abrilar podem incluir efeito laxante, náusea e vômito.;Abrilar está contraindicado para pacientes com alergia a algum dos componentes da fórmula.;Abrilar é um remédio fitoterápico que tem em sua composição Hedera Helix Linne, um composto com efeito mucolítico que diminui a viscosidade das secreções e muco acumulado, facilitando a expectoração. Além disso, Abrilar é também um broncodilatador com ação relaxante sobre o músculo liso brônquico.;Antes de usar Abrilar, deverá falar com o seu médico se estiver grávida ou amamentando, estiver a tomar medicação antiasmática, com insuficiência respiratória, febre, expectoração purulenta ou com sangue, tiver intolerância à frutose ou se estiver a tomar outros medicamentos, incluindo medicamentos sem receita médica.;Em caso de toma excessiva de Abrilar​, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento.;;
Acarsan;Acarsan é indicado para o tratamento dos piolhos, chatos e sarna.;Antes de administrar Acarsan em crianças com idade superior a 2 anos, o medicamento deve ser diluído do seguinte modo: diluir uma parte de Acarsan em uma parte de água igual, por exemplo, utilizar 20 ml de Acarsan e 20 ml de água. Para crianças com idade inferior a 2 anos de idade, o medicamento deve ser diluído em 2 ou 3 partes de água antes de ser administrado, por exemplo usar 20 ml de Acarsan e diluir em 40 ml ou 60 ml de água. Em adultos não é necessária a diluição do medicamento.;Alguns dos efeitos colaterais de Acarsan podem incluir sensação de ardor durante a aplicação na pele e couro cabeludo, irritação dos olhos, mucosas e pele, coceira acompanhada de vermelhidão generalizada da pele e desconforto cutâneo, inchaço nas mucosas dos lábios, olhos, boca e garganta, agitação, vertigem, dor de cabeça, náuseas, vômitos, diarreia, falta de ar, coloração azulada da pele, circulação do sangue prejudicada, alergias e vermelhidão da pele e palpitações.;A administração de Acarsan é contraindicada em pacientes com alergia ao Benzoato de Benzila ou a outros componentes da fórmula, em animais domésticos e em pele com escoriações, cortes, queimaduras ou feridas abertas ou condições que possibilitem maior absorção.;Acarsan é um medicamento que tem na sua composição a substância Benzoato de Benzila, um agente acaricida de ação desconhecida. O Benzoato de Benzila é eficaz no tratamento da escabiose, ftiríase e pediculose. O Acarsan é um medicamento pouco tóxico e sua absorção percutânea é mínima, não se detectando efeitos sistêmicos após aplicação tópica.;Antes de iniciar o tratamento com Acarsan, deverá falar com o seu médico se estiver grávida ou amamentando, se estiver a tomar outros medicamentos ou se tiver alergias na pele.;Em caso de aplicação excessiva de Acarsan, não existem quase riscos de intoxicação, no entanto podem ocorrer reações de hipersensibilidade. Em caso de ingestão acidental, deve-se induzir o vômito e dirigir-se ao hospital mais próximo, levando a bula do medicamento.;;
Accuvit Polivitaminico;Accuvit é um suplemento vitamínico e mineral indicado como antioxidante e vitamínico, em dietas restritivas ou inadequadas de vitaminas C e E, em adultos.;A dose recomendada de Accuvit para adultos é de um comprimido por dia, ou segundo orientação médica, nunca excedendo a dose máxima de 1 comprimido por dia.Os comprimidos de Accuvit devem ser engolidos inteiros, sem partir ou mastigar, com um copo de água.;Alguns dos efeitos colaterais de Accuvit incluem náuseas, vômitos ou diarreias. Para além disso, Accuvit pode provocar uma coloração mais amarelada da urina, devido à presença de Riboflavina na sua composição.;Accuvit está contraindicado para pacientes com hipoprotrombinemia, deficiência de vitamina K, anemia por deficiência de ferro, pedras ou doenças nos rins, doenças relacionadas com a retenção de ferro e para pacientes com alergia a algum dos componentes da fórmula.;Accuvit é um complexo multivitamínico, com vitaminas e nutrientes, que lhe conferem propriedades antioxidantes que previnem os danos nas células e combate o excesso de radicais livres.;Antes de usar Accuvit​, deverá falar com o seu médico se estiver grávida ou amamentando, tiver deficiência de glicose-6-fosfatodesidrogenase ou se estiver a tomar outros medicamentos.;Em caso de toma excessiva de Accuvit​, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento.;;
Acetilcisteína;A acetilcisteína é indicada para o tratamento de afecções respiratórias caracterizadas por hipersecreção densa e viscosa, tais como bronquite aguda, bronquite crônica e suas exacerbações, bronquite tabágica, enfisema pulmonar, broncopneumonia, abscessos pulmonares, fechamento dos brônquios, fibrose cística e outros.;Uso Pediátrico;O uso de acetilcisteína pode ser seguido ocasionalmente de reações de hipersensibilidade.;Este remédio é contra-indicado para pessoas alérgicas à acetilcisteína ou outros componentes da formulação.;A acetilcisteína é um medicamento que fluidifica as secreções produzidas nos pulmões, tornando mais fácil a sua eliminação.;A presença eventual de odor sulfuroso não indica alteração no medicamento, pois é própria do princípio ativo contido no mesmo.;Em caso de superdose, deve-se avisar o médico imediatamente para que ele possa prestar atendimento de urgência.;;
Acetoflux;O Acetoflux é um remédio indicado para o tratamento da amenorreia secundária, que se caracteriza por uma ausência de menstruação por um período maior que 3 meses em mulheres que já tiveram ciclos menstruais.;Tratamento de amenorreia secundária:;Os efeitos colaterais que podem ocorrer com o tratamento com  Acetoflux são variação de peso, insônia, depressão, tontura, dor de cabeça, nervosismo, sonolência, distúrbios tromboembólicos, náusea, icterícia, acne, alopecia, aumento de pelo, coceira, rash, erupção cutânea, urticária, sangramento do útero anormal, ausência de menstruação, feridas no colo do útero, alterações de secreções do colo do útero, ausência de ovulação, galactorreia, dor no seio, aumento da sensiblidade das mamas, retenção de líquidos, reações de hipersensibilidade, cansaço, aumento da temperatura do corpo e diminuição da tolerância à glicose.;O Acetoflux é contraindicado em pessoas que têm ou já tiveram doenças vasculares, distúrbios tromboembólicos e cerebrovasculares, diminuição grave da função do fígado, presença ou suspeita de doença maligna dos órgãos genitais, sangramento vaginal de causa desconhecida ou aborto incompleto.;O Acetoflux é um medicamento sintético, semelhante ao hormônio progesterona que existe normalmente no organismo da mulher e age regulando o sistema endócrino, controlando o ciclo menstrual e/ou sangramentos resultantes deste.;Este medicamento não deve ser utilizado por mulheres grávidas ou que possam ficar grávidas durante o tratamento.;Em caso de superdose, deve-se ir imediatamente ao médico.;;
Acfol 5 mg;Acfol comprimidos ou gotas é indicado para tratar anemia devido à falta de ácido fólico no organismo.;A dosagem, posologia e duração do tratamento com este remédio varia de acordo com as necessidades de ácido fólico de cada pessoa, devendo o médico indicar qual a melhor dosagem e forma de tratamento.;Os efeitos colaterais de Acfol incluem coloração amarelada na urina e reações alérgicas com dificuldade em respirar, vermelhidão na pele e coceira.;É contraindicado em pessoas com alergia a qualquer componente da fórmula ou em caso de existir anemia perniciosa por falta de vitamina B12.;Acfol contém na sua fórmula ácido fólico, uma substância que pertence às vitaminas do grupo B, atuando no organismo na estimulação da produção de de células vermelhas do sangue.;Antes de usar Acfol​, deve-se informar o médico médico sobre a presença de gravidez ou estado de amamentação.;Em caso de se tomar dose superior à indicada, deve-se consultar o médico imediatamente.;Deve ser conservado a temperatura ambiente, entre os 15ºC e os 30ºC, protegido da luz e umidade, até à data de validade indicada na embalage,.;
Acheflan;Acheflan é indicado no tratamento local de processos inflamatórios, tais como tendinites e dores musculares, e em quadros inflamatórios dolorosos associados a traumas de membros, entorses e contusões.;"Acheflan creme é um produto com aspecto pastoso, de cor branca a creme, com odor característico. Aplicar uma fina camada de  Acheflan creme  sobre a pele íntegra, no local da dor, 3 (três) vezes ao dia. Acheflan aerosol é uma solução transparente levemente amarelada; livre de impurezas e com odor característico. AGITE ANTES DE USAR. Aplicar Acheflan aerosol sobre a pele íntegra, no local da dor, 3 (três) vezes ao dia.";Informar ao médico o aparecimento de reações desagradáveis. Até o momento não foram descritas reações indesejáveis associadas ao uso de Acheflan. Raramente pode causar aumento da sensibilidade local.;Acheflan é contra-indicado nas seguintes situações:- indivíduos sensíveis a cordia verbenacea dc. ou a qualquer componente da fórmula. - ocorrência de feridas, queimaduras ou lesões infeccionadas.- associado a outros produtos de uso tópico. Evitar o contato com os olhos e outras mucosas. Em caso de acidente, enxaguar com água abundante.em caso de irritação local, suspender a utilização do produto. Acheflan é para uso externo e não deve ser ingerido. os riscos de uso pela aplicação em outras áreas que não seja a pele (como, por exemplo, os olhos) são: a não-obtenção do efeito desejado e/ou reações adversas. Não existe experiência clínica sobre o uso de  acheflan em idosos, crianças abaixo de 12 anos, gestantes ou lactantes. Categoria de risco na gravidez c: não foram realizados estudos em animais prenhes e nem em mulheres grávidas. Este medicamento não deve ser utilizado durante a gestação ou amamentação sem orientação médica. Este medicamento é contra-indicado na faixa etária abaixo de 12 anos.;;Acheflan é para uso externo e não deve ser ingerido. Não deve ser utilizado associado a outros produtos de uso tópico. Raramente pode causar aumento da sensibilidade local. Testes realizados em animais indicam que acheflan não apresenta atividade irritante na mucosa ocular. entretanto, recomenda-se lavarabundantemente o local com água em caso de contato com os olhos.Uso em idosos, crianças e outros grupos de risco não existe experiência clínica sobre o uso de acheflan em idosos, crianças abaixo de 12 anos, gestantes e lactantes. Categoria de risco na gravidez c: não foram realizados estudos em animais prenhes e nem em mulheres grávidas. Este medicamento não deve ser utilizado durante a gestação ou amamentação sem orientação médica.;Não há experiência, até o momento, com superdose. Em caso de uso excessivo, medidas habituais para remoção do material nãoabsorvido devem ser empregadas, tais como: lavar bem o local de aplicação. Em caso de ingestão acidental, entrar imediatamente em contato com o médico ou procurar um pronto-socorro, informando a quantidade ingerida, horário da ingestão e sintomas.;Acheflan creme deve ser armazenado em sua embalagem original até sua total utilização. Conservar em temperatura ambiente (temperatura entre 15 e 30°C), ao abrigo da luz e da umidade. Acheflan aerosol deve ser armazenado em sua embalagem original até sua total utilização. Conservar em temperatura ambiente (temperatura entre 15 e 30°C), ao abrigo da luz. O prazo de validade de Acheflan é de 24 meses a contar da data de sua fabricação indicada na embalagem do produto.;Aché Laboratórios Farmacêuticos S.A.Via Dutra, km 222,2 - Guarulhos - SPCNPJ 60.659.463/0001-91Indústria Brasileira
Acheflan creme;Indicado para tratar vários tipos de inflamação como tendinite ou dores musculares e entorses ou contusões dos braços ou pernas.;Aplicar uma fina camada de creme sobre a pele, sem feridas, no local da dor, 3 vezes ao dia.;Não existe informação sobre os efeitos colaterais na aplicação deste creme.;Contraindicado em crianças com menos de 12 anos, mulheres grávidas ou pessoas com alergia a qualquer componente da fórmula.;Acheflan é um anti-inflamatório que alivia as dores associadas à inflamação dos músculos e tendões, devido ao extrato de planta natural presente na sua fórmula, a Cordia verbenacea.;Deve-se evitar contacto com boca ou olhos e, caso isto aconteça, lavar com água abundante.;No caso de se aplicar muito creme no local, deve-se lavar com água abundante. Caso surja alguma reação no local de aplicação, como vermelhidão, coceira ou sensação de queimação, deve-se contactar o médico imediatamente.;;
