Nome;Pergunta;Resposta
Tafinlar;Quais são os riscos para a saúde relacionados ao uso de Tafinlar?;Alguns dos efeitos colaterais de Tafinlar podem incluir febre, espessamento da pele, crescimentos de verrugas, vermelhidão e inchaço nas palmas, dedos e solas dos pés, dor de cabeça, vômito, náusea, diarreia, diminuição do apetite, arrepios, sensação de fraqueza, falta de energia, dores nas articulações, nos músculos ou nas mãos ou pés, tosse, perda de cabelo, prisão de ventre, gripe ou aumento do açúcar no sangue.
Tandriflan;Quais os males que Tandriflan pode me causar?;Os efeitos colaterais que podem ocorrer com o uso deste medicamento são distúrbios gastrintestinais como dispepsia, dor epigástrica, recorrência de úlcera péptica, náuseas, vômitos e diarreia.
Oto;Quais são os possíveis efeitos colaterais associados a Oto?;Os efeitos colaterais que podem ocorrer com o uso deste medicamento são infecções secundárias por bactérias e fungos não sensíveis aos antibióticos contidos na fórmula, alterações no exame de sangue e reações de hipersensibilidade.
Tamiflu cápsulas;O que Tamiflu cápsulas pretende tratar?;Tamiflu cápsulas é indicado para prevenção da gripe, em adultos e crianças com mais de 1 ano de idade.
Damater;Quais são as contraindicações para Damater?;Damater está contraindicado para crianças e idosos e pacientes com alergia a algum dos componentes da fórmula.
Trimedal;Quais são as instruções para o uso correto de Trimedal?;A dose recomendada para adultos é de 1 comprimido, de 8 em 8 horas.
Tremfya;Como usar Tremfya?;O Tremfya é indicado para uso subcutâneo, sob a orientação e supervisão de um médico experiente no diagnóstico e tratamento de psoríase em placas.
Fluimucil;Qual é o mecanismo de ação de Fluimucil?;O Fluimucil contém acetilcisteína na sua composição, que é um medicamento expectorante que ajuda a eliminar as secreções produzidas nos pulmões, facilitando a respiração.
Copaxone;De que maneira Copaxone deve ser administrado?;A dose recomendada para adultos de Copaxone para o tratamento da esclerose múltipla remissiva recidivante é de 20 mg/dia injetada subcutaneamente. Copaxone deve ser aplicado à mesma hora, todos os dias. Os locais indicados para a auto-injeção são os braços, abdômen, quadris e coxas. Deve-se usar um local diferente para aplicação a cada dia, sugerindo-se seguir o sentido horário ou anti-horário, visando reduzir a propensão a irritações locais ou dor resultante da injeção. A droga foi projetada para tratamento de longo prazo e seu uso não deve ser interrompido, a menos que seja indicado por um médico. - Incompatibilidades: Copaxone não deve ser misturado ou co-administrado com outros produtos além da Água para Injeção para reconstituição, antes de usar. - Uso em pediatria: a segurança e eficácia de Copaxone não foram estabelecidas para indivíduos com menos de 18 anos de idade. - Uso em geriatria: Copaxone não foi estudado especificamente com idosos. - Uso em pacientes com insuficiência renal: a farmacocinética de Copaxone em pacientes com insuficiência renal ainda não foi estabelecida. - Superdosagem: doses diárias de até 30 mg em humanos não foram associadas a outros efeitos colaterais, além dos mencionados anteriormente. Não há experiência com dosagens mais elevadas. Não há relato de superdose com Copaxone. Não há antídoto específico. O tratamento consiste da interrupção do uso de Copaxone, enquanto o paciente é vigiado por, pelo menos, dez horas e faz-se terapia de suporte adequada aos sintomas.
Oftpred;Quais são os possíveis efeitos colaterais associados a Oftpred?;Como acontece com qualquer medicamento, podem ocorrer efeitos colaterais com a aplicação de Oftpred suspensão oftálmica.
