Nome;Pergunta;Resposta
Abilify comprimidos;Qual é o propósito principal de Abilify comprimidos na área da saúde?;Abilify comprimidos de 5, 10, 15, 20 ou 30 mg é indicado no tratamento de esquizofrenia em adultos e adolescentes com mais de 15 anos.​
Abilify comprimidos;Quais são as orientações específicas para utilizar Abilify comprimidos?;As doses de Abilify variam de acordo com a idade do paciente e a doença a tratar, sendo que as orientações gerais incluem:
Abilify comprimidos;Quais são os riscos para a saúde relacionados ao uso de Abilify comprimidos?;Os principais efeitos colaterais do uso de Abilify comprimidos são agitação, insônia, ansiedade, tremores, tonturas, sonolência, dor de cabeça, visão turva, aumento da frequência cardíaca, azia, vômitos, náuseas, obstipação e cansaço excessivo.
Abilify comprimidos;Quando não devo usar Abilify comprimidos?;O uso de Abilify comprimidos está contraindicado para mulheres a amamentar, crianças com menos de 13 anos e pacientes com hipersensibilidade à substância ativa ou qualquer componente da fórmula do medicamento.
Abilify comprimidos;Quais são os processos biológicos desencadeados por Abilify comprimidos?;A substância ativa do Abilify comprimidos, conhecida como aripiprazol, é capaz de se ligar aos receptores de dopamina e de serotonina, regulando os impulsos nervosos que são responsáveis por controlar os movimentos voluntários, assim como produzir sensação de bem-estar e prazer.
Abilify Mycite;Qual é a finalidade do medicamento Abilify Mycite?;O Abilify Mycite é indicado no tratamento da esquizofrenia e transtorno bipolar do tipo I em adultos, isolado ou em combinação com outro medicamentos, assim como em alguns casos de depressão major em combinação com outros medicamentos.
Abilify Mycite;Como usar Abilify Mycite?;O Abilify MyCite é composto por um comprimido de aripiprazole e um sensor, uma espécie de penso que deteta o sinal do sensor e um aplicativo compatível com o smartphone, que disponibiliza a informação.
Abilify Mycite;Quais são os potenciais efeitos indesejados de Abilify Mycite?;Os efeitos adversos mais comuns são náusea, vômito, prisão de ventre, dor de cabeça, vertigem, fadiga, ansiedade, sedação, agitação, contrações musculares involuntárias, insônia, produção excessiva de saliva, boca seca, tremores, aumento do peso, infecções na nasofaringe ou inquietação.
Abilify Mycite;Quais são as contraindicações para Abilify Mycite?;O Abilify MyCite é contraindicado em pessoas com alergia ao aripiprazol ou a qualquer componente do medicamento.
Abrilar;Em que situações médicas é recomendado o uso de Abrilar?;Abrilar é um remédio fitoterápico indicado para o tratamento problemas broncopulmonares associados aos aumento de secreções ou a broncoespasmos, em adultos e crianças.
Abrilar;Quais são as instruções para o uso correto de Abrilar?;Lactentes e crianças até sete anos de idade: a dose recomendada é de 2,5 ml, tomados 3 vezes por dia.	Crianças acima de sete anos de idade: a dose recomendada é de 5 ml, tomados 3 vezes ao dia.	Adultos: a dose recomendada é de 7,5 ml, tomados 3 vezes por dia.
Abrilar;Quais os males que Abrilar pode me causar?;Alguns dos efeitos colaterais de Abrilar podem incluir efeito laxante, náusea e vômito.
Abrilar;Quando não devo usar Abrilar?;Abrilar está contraindicado para pacientes com alergia a algum dos componentes da fórmula.
Abrilar;Como Abrilar atua no organismo para produzir seus efeitos?;Abrilar é um remédio fitoterápico que tem em sua composição Hedera Helix Linne, um composto com efeito mucolítico que diminui a viscosidade das secreções e muco acumulado, facilitando a expectoração. Além disso, Abrilar é também um broncodilatador com ação relaxante sobre o músculo liso brônquico.
Acarsan;Qual é a finalidade do medicamento Acarsan?;Acarsan é indicado para o tratamento dos piolhos, chatos e sarna.
Acarsan;Qual é a posologia recomendada para Acarsan?;Antes de administrar Acarsan em crianças com idade superior a 2 anos, o medicamento deve ser diluído do seguinte modo: diluir uma parte de Acarsan em uma parte de água igual, por exemplo, utilizar 20 ml de Acarsan e 20 ml de água. Para crianças com idade inferior a 2 anos de idade, o medicamento deve ser diluído em 2 ou 3 partes de água antes de ser administrado, por exemplo usar 20 ml de Acarsan e diluir em 40 ml ou 60 ml de água. Em adultos não é necessária a diluição do medicamento.
Acarsan;Quais os males que Acarsan pode me causar?;Alguns dos efeitos colaterais de Acarsan podem incluir sensação de ardor durante a aplicação na pele e couro cabeludo, irritação dos olhos, mucosas e pele, coceira acompanhada de vermelhidão generalizada da pele e desconforto cutâneo, inchaço nas mucosas dos lábios, olhos, boca e garganta, agitação, vertigem, dor de cabeça, náuseas, vômitos, diarreia, falta de ar, coloração azulada da pele, circulação do sangue prejudicada, alergias e vermelhidão da pele e palpitações.
Acarsan;Em que circunstâncias eu não deveria utilizar Acarsan?;A administração de Acarsan é contraindicada em pacientes com alergia ao Benzoato de Benzila ou a outros componentes da fórmula, em animais domésticos e em pele com escoriações, cortes, queimaduras ou feridas abertas ou condições que possibilitem maior absorção.
Acarsan;Quais são os processos biológicos desencadeados por Acarsan?;Acarsan é um medicamento que tem na sua composição a substância Benzoato de Benzila, um agente acaricida de ação desconhecida. O Benzoato de Benzila é eficaz no tratamento da escabiose, ftiríase e pediculose. O Acarsan é um medicamento pouco tóxico e sua absorção percutânea é mínima, não se detectando efeitos sistêmicos após aplicação tópica.
Accuvit Polivitaminico;Em que situações médicas é recomendado o uso de Accuvit Polivitaminico?;Accuvit é um suplemento vitamínico e mineral indicado como antioxidante e vitamínico, em dietas restritivas ou inadequadas de vitaminas C e E, em adultos.
Accuvit Polivitaminico;Qual é a posologia recomendada para Accuvit Polivitaminico?;A dose recomendada de Accuvit para adultos é de um comprimido por dia, ou segundo orientação médica, nunca excedendo a dose máxima de 1 comprimido por dia.Os comprimidos de Accuvit devem ser engolidos inteiros, sem partir ou mastigar, com um copo de água.
Accuvit Polivitaminico;Quais são os possíveis efeitos colaterais associados a Accuvit Polivitaminico?;Alguns dos efeitos colaterais de Accuvit incluem náuseas, vômitos ou diarreias. Para além disso, Accuvit pode provocar uma coloração mais amarelada da urina, devido à presença de Riboflavina na sua composição.
Accuvit Polivitaminico;Quando não devo usar Accuvit Polivitaminico?;Accuvit está contraindicado para pacientes com hipoprotrombinemia, deficiência de vitamina K, anemia por deficiência de ferro, pedras ou doenças nos rins, doenças relacionadas com a retenção de ferro e para pacientes com alergia a algum dos componentes da fórmula.
Accuvit Polivitaminico;Quais são os princípios do funcionamento de Accuvit Polivitaminico?;Accuvit é um complexo multivitamínico, com vitaminas e nutrientes, que lhe conferem propriedades antioxidantes que previnem os danos nas células e combate o excesso de radicais livres.
Acetilcisteína;Qual é a finalidade do medicamento Acetilcisteína?;A acetilcisteína é indicada para o tratamento de afecções respiratórias caracterizadas por hipersecreção densa e viscosa, tais como bronquite aguda, bronquite crônica e suas exacerbações, bronquite tabágica, enfisema pulmonar, broncopneumonia, abscessos pulmonares, fechamento dos brônquios, fibrose cística e outros.
Acetilcisteína;Qual é a posologia recomendada para Acetilcisteína?;Uso Pediátrico
Acetilcisteína;Quais são os possíveis efeitos colaterais associados a Acetilcisteína?;O uso de acetilcisteína pode ser seguido ocasionalmente de reações de hipersensibilidade.
Acetilcisteína;Quando não devo usar Acetilcisteína?;Este remédio é contra-indicado para pessoas alérgicas à acetilcisteína ou outros componentes da formulação.
Acetilcisteína;Quais são os princípios do funcionamento de Acetilcisteína?;A acetilcisteína é um medicamento que fluidifica as secreções produzidas nos pulmões, tornando mais fácil a sua eliminação.
Acetoflux;Para que serve Acetoflux?;O Acetoflux é um remédio indicado para o tratamento da amenorreia secundária, que se caracteriza por uma ausência de menstruação por um período maior que 3 meses em mulheres que já tiveram ciclos menstruais.
Acetoflux;Quais são as instruções para o uso correto de Acetoflux?;Tratamento de amenorreia secundária:
Acetoflux;Quais são os potenciais efeitos indesejados de Acetoflux?;Os efeitos colaterais que podem ocorrer com o tratamento com  Acetoflux são variação de peso, insônia, depressão, tontura, dor de cabeça, nervosismo, sonolência, distúrbios tromboembólicos, náusea, icterícia, acne, alopecia, aumento de pelo, coceira, rash, erupção cutânea, urticária, sangramento do útero anormal, ausência de menstruação, feridas no colo do útero, alterações de secreções do colo do útero, ausência de ovulação, galactorreia, dor no seio, aumento da sensiblidade das mamas, retenção de líquidos, reações de hipersensibilidade, cansaço, aumento da temperatura do corpo e diminuição da tolerância à glicose.
Acetoflux;Existem situações em que o uso de Acetoflux não é recomendado?;O Acetoflux é contraindicado em pessoas que têm ou já tiveram doenças vasculares, distúrbios tromboembólicos e cerebrovasculares, diminuição grave da função do fígado, presença ou suspeita de doença maligna dos órgãos genitais, sangramento vaginal de causa desconhecida ou aborto incompleto.
Acetoflux;Quais são os princípios do funcionamento de Acetoflux?;O Acetoflux é um medicamento sintético, semelhante ao hormônio progesterona que existe normalmente no organismo da mulher e age regulando o sistema endócrino, controlando o ciclo menstrual e/ou sangramentos resultantes deste.
Acfol 5 mg;Em que situações médicas é recomendado o uso de Acfol 5 mg?;Acfol comprimidos ou gotas é indicado para tratar anemia devido à falta de ácido fólico no organismo.
Acfol 5 mg;Como usar Acfol 5 mg?;A dosagem, posologia e duração do tratamento com este remédio varia de acordo com as necessidades de ácido fólico de cada pessoa, devendo o médico indicar qual a melhor dosagem e forma de tratamento.
Acfol 5 mg;Quais são os possíveis efeitos colaterais associados a Acfol 5 mg?;Os efeitos colaterais de Acfol incluem coloração amarelada na urina e reações alérgicas com dificuldade em respirar, vermelhidão na pele e coceira.
Acfol 5 mg;Há alguma condição específica em que o uso de Acfol 5 mg é desaconselhado?;É contraindicado em pessoas com alergia a qualquer componente da fórmula ou em caso de existir anemia perniciosa por falta de vitamina B12.
Acfol 5 mg;Como funciona Acfol 5 mg?;Acfol contém na sua fórmula ácido fólico, uma substância que pertence às vitaminas do grupo B, atuando no organismo na estimulação da produção de de células vermelhas do sangue.
Acheflan;Qual é a finalidade do medicamento Acheflan?;Acheflan é indicado no tratamento local de processos inflamatórios, tais como tendinites e dores musculares, e em quadros inflamatórios dolorosos associados a traumas de membros, entorses e contusões.
Acheflan;De que maneira Acheflan deve ser administrado?;"Acheflan creme é um produto com aspecto pastoso, de cor branca a creme, com odor característico. Aplicar uma fina camada de  Acheflan creme  sobre a pele íntegra, no local da dor, 3 (três) vezes ao dia. Acheflan aerosol é uma solução transparente levemente amarelada; livre de impurezas e com odor característico. AGITE ANTES DE USAR. Aplicar Acheflan aerosol sobre a pele íntegra, no local da dor, 3 (três) vezes ao dia."
Acheflan;Quais são os possíveis efeitos colaterais associados a Acheflan?;Informar ao médico o aparecimento de reações desagradáveis. Até o momento não foram descritas reações indesejáveis associadas ao uso de Acheflan. Raramente pode causar aumento da sensibilidade local.
Acheflan;Quais são as contraindicações para Acheflan?;Acheflan é contra-indicado nas seguintes situações:- indivíduos sensíveis a cordia verbenacea dc. ou a qualquer componente da fórmula. - ocorrência de feridas, queimaduras ou lesões infeccionadas.- associado a outros produtos de uso tópico. Evitar o contato com os olhos e outras mucosas. Em caso de acidente, enxaguar com água abundante.em caso de irritação local, suspender a utilização do produto. Acheflan é para uso externo e não deve ser ingerido. os riscos de uso pela aplicação em outras áreas que não seja a pele (como, por exemplo, os olhos) são: a não-obtenção do efeito desejado e/ou reações adversas. Não existe experiência clínica sobre o uso de  acheflan em idosos, crianças abaixo de 12 anos, gestantes ou lactantes. Categoria de risco na gravidez c: não foram realizados estudos em animais prenhes e nem em mulheres grávidas. Este medicamento não deve ser utilizado durante a gestação ou amamentação sem orientação médica. Este medicamento é contra-indicado na faixa etária abaixo de 12 anos.
Acheflan creme;Qual é o propósito principal de Acheflan creme na área da saúde?;Indicado para tratar vários tipos de inflamação como tendinite ou dores musculares e entorses ou contusões dos braços ou pernas.
Acheflan creme;Qual é a posologia recomendada para Acheflan creme?;Aplicar uma fina camada de creme sobre a pele, sem feridas, no local da dor, 3 vezes ao dia.
Acheflan creme;Existem reações adversas conhecidas de Acheflan creme?;Não existe informação sobre os efeitos colaterais na aplicação deste creme.
Acheflan creme;Existem situações em que o uso de Acheflan creme não é recomendado?;Contraindicado em crianças com menos de 12 anos, mulheres grávidas ou pessoas com alergia a qualquer componente da fórmula.
Acheflan creme;Quais são os processos biológicos desencadeados por Acheflan creme?;Acheflan é um anti-inflamatório que alivia as dores associadas à inflamação dos músculos e tendões, devido ao extrato de planta natural presente na sua fórmula, a Cordia verbenacea.
Acheflan spray;Qual é o propósito principal de Acheflan spray na área da saúde?;É indicado para aliviar dores musculares e inchaço associado a artrose. Além disso, também reduz a inflamação nos tendões.
Acheflan spray;Quais são as orientações específicas para utilizar Acheflan spray?;Aplicar diretamente no local da dor, numa região da pele sem feridas, 3 vezes ao dia, durante o tempo recomendado pelo médico.
Acheflan spray;Quais os males que Acheflan spray pode me causar?;Não existem relatos de efeitos colaterais com o uso deste remédio.
Acheflan spray;Em que circunstâncias eu não deveria utilizar Acheflan spray?;Não deve ser usado durante a gravidez ou amamentação, por crianças com menos de 12 anos e em caso de alergia a qualquer componente da fórmula. Se existir feridas na pele, queimadura ou infecção, a aplicação do Acheflan também está contraindicada.
Acheflan spray;Qual é o mecanismo de ação de Acheflan spray?;Ancheflan contém na sua fórmula Cordia verbenacea, um extrato de plantas que tem efeito anti-inflamatório, agindo no alívio de dores, vermelhidão e inchaço associado à inflamação dos músculos e tendões.
Acnesoap sabonete;O que Acnesoap sabonete pretende tratar?;O Acnesoap é um produto indicado para auxiliar no tratamento da acne, por isso é indicado frequentemente por dermatologistas.
Acnesoap sabonete;Quais são as instruções para o uso correto de Acnesoap sabonete?;O sabonete acnesoap deve ser utilizado da seguinte forma:
Acnesoap sabonete;Quando não devo usar Acnesoap sabonete?;O sabonete acnesoap não deve ser utilizado por pessoas alérgicas a qualquer um dos componentes da fórmula.
Acnesoap sabonete;Qual é o mecanismo de ação de Acnesoap sabonete?;O Sabonete Acnesoap tem uma composição neutra, especialmente desenvolvido para tratar a acne, visto que ajuda a limpar suavemente, mas com eficácia, eliminando a oleosidade excessiva da pele sem a danificar a pele.
Actemra 80 e 200 mg;Qual é a finalidade do medicamento Actemra 80 e 200 mg?;O Actemra 80 ou 200 mg é indicado para o tratamento da artrite reumatoide em atividade, em adultos.
Actemra 80 e 200 mg;Qual é a posologia recomendada para Actemra 80 e 200 mg?;As quantidades de Actemra a utilizar e a duração do tratamento devem ser indicadas pelo seu, pois dependem do problema a tratar, da idade e resposta individual ao tratamento.
Actemra 80 e 200 mg;Quais os males que Actemra 80 e 200 mg pode me causar?;Alguns dos efeitos colaterais de Actemra podem incluir infecções de vias aéreas superiores, celulite, herpes simples oral, herpes zóster, dor na região da barriga, aftas, gastrite, urticária na pele, coceira, dor de cabeça, tontura, aumento de enzimas do figado, aumento da pressão, alterações nos resultados dos exames de sangue, aumento dos níveis de colesterol, aumento de peso, inchaço reações de alergia, reação no local de administração, tosse, falta de ar e conjuntivite.
Actemra 80 e 200 mg;Quais são as contraindicações para Actemra 80 e 200 mg?;Actemra está contraindicado para pessoas em tratamento com outros medicamentos biológicos para artrite reumatoide, com infecções graves ativas, ou com alergia ao Tocilizumabe ou a outros componentes da fórmula.
Actemra 80 e 200 mg;Quais são os princípios do funcionamento de Actemra 80 e 200 mg?;Actemra é um medicamento que tem na sua composição Tocilizumabe, um composto que faz parte dos novos medicamentos antirreumáticos modificadores da doença, com origem biológica.
Actifedrin xarope e comprimidos;Qual é o propósito principal de Actifedrin xarope e comprimidos na área da saúde?;Actifedrin é um antialérgico encontrado na forma de xarope e comprimidos indicado para rinites, em adultos e crianças com mais de 2 anos de idade.
Actifedrin xarope e comprimidos;Como usar Actifedrin xarope e comprimidos?;Actifedrin xarope
Actifedrin xarope e comprimidos;Existem reações adversas conhecidas de Actifedrin xarope e comprimidos?;Alguns dos efeitos colaterais de Actifedrin incluem sonolência, dificuldade em respirar, agitação, dificuldade para dormir, alucinações, urticária na pele, batimento rápido do coração, ressecamento de boca, nariz e garganta e dificuldade em urinar.
Actifedrin xarope e comprimidos;Existem situações em que o uso de Actifedrin xarope e comprimidos não é recomendado?;Actifedrin está contraindicado para crianças com menos de 2 anos de idade, mulheres grávidas ou amamentando, pacientes em tratamento com antidepressivos ou com medicamentos à base de furazolidona, pacientes com pressão alta, diabetes, acumulo de colesterol e para pacientes com alergia ao Cloridrato de Triprolidina, ao Cloridrato de Pseudoefedrina ou a outros componentes da fórmula.
Actifedrin xarope e comprimidos;Quais são os processos biológicos desencadeados por Actifedrin xarope e comprimidos?;Actifedrin é um medicamento que tem na sua composição triprolidina e pseudoefedrina, compostos com propriedades anti-alérgicas e descongestionantes. A triprolidina alivia os sintomas característicos das reações alérgicas e a pseudoefedrina promove o descongestionamento nasal.
Activelle;Qual é a finalidade do medicamento Activelle?;Terapia de Reposição Hormonal para os sintomas de deficiência estrogênica, em mulheres na menopausa há mais de um ano. Prevenção da osteoporose em mulheres na pós-menopausa. A experiência no tratamento de mulheres com mais de 65 anos é limitada.
Activelle;Como usar Activelle?;Activelle  (Estradiol - Acetato de noretisterona) é um medicamento de administração contínua, que contém estrogênio e progestogênio combinados, para ser administrado à mulheres com útero intacto. Deve-se ingerir um comprimido de Activelle  (Estradiol - Acetato de noretisterona) ao dia, sem interrupções, preferivelmente no mesmo horário do dia. A Terapia de Reposição Hormonal (TRH) para a prevenção de osteoporose da pós-menopausa deve levar em consideração os efeitos esperados sobre a massa óssea, que são dose-relacionados, e a tolerabilidade individual ao tratamento. Uma mudança para um produto de combinação com dose maior pode ser indicada se a resposta  após três meses para o alívio satisfatório dos sintomas for insuficiente. Em mulheres com amenorréia e que não estejam sob TRH ou em mulheres que estejam se transferindo de um outro produto de TRH combinado de uso contínuo, o tratamento com Activelle  (Estradiol - Acetato de noretisterona) pode ser iniciado no dia em que for mais conveniente. Em mulheres que estejam se transferindo de regimes seqüenciais de TRH, o tratamento deve ser iniciado logo após o término do sangramento. Instruções de uso1. Gire o disco interno (onde estão marcados os dias da semana), ajustando a posição da pequena lingüeta plástica ao dia da semana desejado.2. Para retirar o primeiro comprimido, quebre a lingüeta plástica e retire o comprimido. 3. Diariamente, mova um espaço do disco plástico transparente, em sentido horário como indicado pela seta, retire o próximo comprimido e ingira-o. O disco plástico transparente só pode ser movido após o comprimido ser retirado da abertura.
Activelle;Quais são os potenciais efeitos indesejados de Activelle?;"O evento adverso mais freqüentemente relatado durante o tratamento em ensaios clínicos foi a sensibilidade na mama, que foi relatada principalmente durante os meses iniciais do tratamento. Outros eventos adversos associados ao tratamento com estrógeno-progesterona foram relatados com Activelle  (Estradiol - Acetato de noretisterona) em ensaios  clínicos: dor de cabeça, sangramento vaginal, dor abdominal, náusea, flatulência, aumento da mama, aumento do tamanho dos fibróides uterinos, erupção cutânea e prurido, insônia, depressão, tromboembolismo venoso e edema.  Eventos adversos adicionais associados ao tratamento com estrógeno-progesterona:   -gastrointestinal: dispepsia, vômito, gases, doença da vesícula biliar, pedras na vesícula; -pele: queda de cabelo, hirsutismo; -Sistema Nervoso Central: cefaléia, vertigem; -urogenital: candidíase vaginal; -cardiovascular: aumento da pressão sangüínea; -diversos: aumento ou diminuição de peso, alterações na libido, cãibras nas pernas. Casos excepcionais de cloasma, eritema multiforme, eritema nodoso e erupção hemorrágica têm sido relatados em mulheres sob Terapia de Reposição Hormonal (TRH)."
Activelle;Há alguma condição específica em que o uso de Activelle é desaconselhado?;- Gravidez ou suspeita de gravidez - Lactação - Conhecimento, suspeita ou histórico anterior de câncer de mama- Conhecimento ou suspeita de tumores dependentes de estrógeno- Sangramento vaginal não diagnosticado - Processos tromboembólicos ativos ou recentes - Doença hepática aguda ou crônica ou histórico de doença hepática, desde que os testes de função hepática não tenham  retornado ao normal - Hipersensibilidade conhecida a qualquer componente do produto
Actonel;O que Actonel pretende tratar?;O Actonel está indicado na prevenção da osteoporose em mulheres com risco aumentado de virem a desenvolver este problema, seja por apresentarem baixa massa óssea, menopausa precoce ou histórico de familiares com este problema, e no tratamento de osteoporose em mulheres em período pós-menopausa.
Actonel;De que maneira Actonel deve ser administrado?;A dose recomendada é de 35 mg, uma vez por semana, ingerida sempre no mesmo dia de cada semana.
Actonel;Existem reações adversas conhecidas de Actonel?;O uso de Actonel pode provocar efeitos secundários como má digestão, má disposição, dores e desconforto no estômago, prisão de ventre, gases, diarreia, dores nos ossos, nos músculos, nas articulações e na cabeça.
Actonel;Existem situações em que o uso de Actonel não é recomendado?;Este medicamento não poderá ser utilizado em pessoas com alergia ao risedronato de sódio ou a qualquer outro componente da fórmula.
Actonel;Como funciona Actonel?;O Actonel pertence a um grupo de fármacos não hormonais denominados bifosfonatos, utilizados no tratamento de doenças ósseas.
Acular colírio;Em que situações médicas é recomendado o uso de Acular colírio?;O Acular é indicado para alívio dos sinais e sintomas da conjuntivite alérgica, para tratamento e profilaxia da inflamação em pessoas que se submeteram a cirurgias oculares e cirurgias de extração de catarata e para o tratamento da dor ocular.
Acular colírio;Quais são as instruções para o uso correto de Acular colírio?;Para alívio dos sinais e sintomas da conjuntivite alérgica, a dose recomendada usualmente é de 1 gota aplicada nos olhos afetados, quatro vezes ao dia.
Acular colírio;Quais são os potenciais efeitos indesejados de Acular colírio?;Os efeitos colaterais mais comuns que podem ocorrer com o uso deste medicamento são dor e irritação passageiras nos olhos, após a aplicação do medicamento, visão borrada, conjuntivite, inflamação da íris, depósitos de proteínas na córnea, sangramento da retina, edema de retina, sensação de ardor nos olhos, coceira dos olhos, trauma ocular, pressão intraocular e dor de cabeça.
Acular colírio;Existem situações em que o uso de Acular colírio não é recomendado?;Este remédio é contraindicado para pessoas que apresentam alergia a qualquer um dos componentes da sua fórmula.
Acular colírio;Quais são os processos biológicos desencadeados por Acular colírio?;O Acular colírio é uma solução oftálmica que apresenta ação anti-inflamatória e antialérgica, que começa agir logo após a aplicação nos olhos.
Ad;O que Ad pretende tratar?;Indicado para tratar inflamação das gengivas, estomatite e outras infecções da boca, assim como inflamação da boca causada por dentaduras mal ajustadas.
Ad;Como usar Ad?;Aplicar duas vezes ao dia, de manhã e à noite, depois de escovar os dentes ou depois das refeições. Depois de desaparecerem as feridas na boca é recomendada a continuação do tratamento por uma vez ao dia, durante 1 a 2 semanas.
Ad;Existem reações adversas conhecidas de Ad?;Não existem efeitos colaterais relatados, porém pode surgir no local de aplicação sinais de irritação e alergia como vermelhidão, sensação de queimação ou dor.
Ad;Em que circunstâncias eu não deveria utilizar Ad?;Não deve ser usado em crianças com menos de 3 anos de idade, mulheres que estejam a amamentar e pessoas com alergia a qualquer componente da fórmula.
Ad;Como Ad atua no organismo para produzir seus efeitos?;Ad-Muc pomada contém na sua fórmula extrato fluido de Chamomilla recutita Rauschert que tem ação anti-inflamatória e anti-bacteriana, auxiliando no processo de cicatrização de feridas na gengiva e boca.
Adalat;Qual é o propósito principal de Adalat na área da saúde?;Adalat cápsulas
Adalat;Qual é a posologia recomendada para Adalat?;Adalat cápsulas: A dose recomendada de Adalat cápsulas para o tratamento da pressão alta e da doença coronária, é de 1 cápsula, 3 vezes ao dia. Para o tratamento da crise aguda, a dose recomendada é de 1 cápsula por dia. As cápsulas devem ser engolidas inteiras, sem partir ou mastigar, com um copo de água
Adalat;Quais são os potenciais efeitos indesejados de Adalat?;Alguns dos efeitos colaterais de Adalat cápsulas, Adalat retard ou de Adalat oros podem incluir: dor de cabeça, inchaço, dilatação dos vasos sanguíneos, prisão de ventre e mal-estar geral.
Adalat;Há alguma condição específica em que o uso de Adalat é desaconselhado?;A administração de Adalat cápsulas, Adalat retard ou de Adalat oros é contraindicada em: Pacientes com alergia ao Nifedipino ou a qualquer dos outros componentes da fórmula, caso de choque de origem cardíaca, pacientes que estejam a tomar antibióticos como a Rifampicina, mulheres grávidas até à 20º semana de gravidez e em mulheres amamentando, crianças e adolescentes.
Adalat;Quais são os processos biológicos desencadeados por Adalat?;Adalat cápsulas, Adalat retard e Adalat oros, têm na sua composição a substância ativa o Nifedipino.
Adaptis fresh;Qual é o propósito principal de Adaptis fresh na área da saúde?;O Adaptis fresh é indicado para o alívio rápido do desconforto ocular causado por exposição ao vento, sol e substâncias irritantes.
Adaptis fresh;Quais são as orientações específicas para utilizar Adaptis fresh?;A dose recomendada é de uma a duas gotas, que devem ser aplicadas no saco conjuntival do olho afetado, três vezes ao dia ou conforme indicação médica.
Adaptis fresh;Existem situações em que o uso de Adaptis fresh não é recomendado?;Este colírio não deve ser usado por pessoas que tenham alergia a qualquer um dos componentes da fórmula.
