;Nome;Pergunta;Resposta;Resposta_predita
546;Dorless;Em que situações médicas é recomendado o uso de Dorless?;Adultos e crianças acima de 14 anos:Via oral:50 a 100mg, duas a três vezes ao dia. Dose máxima: 400mg/ dia.Via parenteral (intramuscular ou endovenosa direta):50 a100mg, duas a três vezes ao dia, administrado lentamente. Dose máxima: 400mg/dia.Normalmente, não se deve exceder doses de 400mg/dia, entretanto, no tratamento de dor severa proveniente de tumor e na dor pós-operatória severa, doses mais elevadas podem ser necessárias, sempre a critério médico. Dependendo da sensibilidade individual e com base no esquema posológico recomendado, o  médico pode ajustar o intervalo entre as doses, que, no entanto, não deverá ser inferior a 6 horas.O esquema posológico recomendado serve como regra geral. A princípio, deve ser selecionada a menor dose analgésica eficaz. Em pacientes com insuficiência renal ou hepática, a duração da ação do Cloridrato de  Tramadol pode ser prolongada. Em caso de recorrência da dor, o intervalo entre as doses deve ser prolongado.Duração do tratamento:O tratamento com Dorless deve ser efetuado apenas pelo período de tempo necessário, uma vez que não se pode afastar o risco de hábito quando utiliza-se Dorless por períodos prolongados. Por esta razão, em casos onde se requer tratamento prolongado, o médico deverá estabelecer sua duração e fazer algumas interrupções (pausas) na administração do fármaco.; Dorless é um medicamento indicado para o alívio sintomático da dor de cabeça leve a moderada, dor de dente, dor de garganta, dor de barriga, dor muscular, dor nas costas, dor nas articulações, dor nas pernas, dor nas juntas, dor nas costas, dor nas mãos, dor nas pés, dor na parte superior do abdômen, dor pós-operatória e/ou pós-traumática, dor nas articulações, dor nas juntas, dor de dente, dor de garganta, dor de barriga, dor muscular, dor de costas, dor de pernas, dor de juntas, dor de parte superior do abdômen, dor pós-operatória e/ou pós-traumática, dor nas mãos, dor nas pernas, dor nas juntas, dor de dente, dor de garganta, dor de barriga, dor muscular, dor de costas, dor de pernas, dor de juntas, dor de parte superior do abdômen, dor pós-oper
223;Cimegripe;Quais são as orientações específicas para utilizar Cimegripe?;Este medicamento pode causar algumas reações adversas inesperadas.; Cimegripe é um medicamento que deve ser utilizado de acordo com as seguintes orientações específicas:  Adultos: A dose recomendada é de 1 comprimido, 2 vezes ao dia, de preferência de manhã e à noite.  Crianças: A dose recomendada é de 1 comprimido, 2 vezes ao dia, de preferência de manhã e à noite.  Não se deve exceder as doses recomendadas.  Se você esquecer de tomar Cimegripe, tome-o assim que se lembrar. No entanto, se já se encontrar muito próximo do horário da dose seguinte, pule a dose esquecida e tome a próxima, continuando normalmente o esquema de doses recomendado.  Não tome doses de Cimegripe a dobrar ou em horários muito próximos.  Se você estiver tomando Cimegripe com água, não tome com leite ou suco de
403;Dapsona;Como Dapsona atua no organismo para produzir seus efeitos?;O médico deve ser informado se ocorrerem reações como febre, palidez, icterícia , manchas hemorrágicas ou infecção de garganta ou se se estiver a fazer um tratamento com outros medicamentos como anti-histamínicos, antidepressivos tricíclicos e fenotiazinas; Como Dapsona atua no organismo para produzir seus efeitos, você deve responder a seguinte pergunta:  Como Dapsona atua no organismo para produzir seus efeitos?[/INSTS]  Dapsona é um anticonvulsivante, que atua no organismo para controlar convulsões e produz seus efeitos.  Como Dapsona atua no organismo para produzir seus efeitos, você deve responder a seguinte pergunta:  Como Dapsona atua no organismo para produzir seus efeitos?[/INSTS]  Dapsona atua no organismo para produzir seus efeitos como um anticonvulsivante.  Como Dapsona atua no organismo para produzir seus efeitos, você deve responder a seguinte pergunta:  Como Dapsona atua no organismo para produzir seus efeitos?[/INSTS]  Dapsona atua no organismo como um anticonvulsivante, controlando convulsões.  Como Dapsona at
8;Equilid 50 mg;Quais os males que Equilid 50 mg pode me causar?;Pacientes com diagnóstico ou suspeita de feocromocitoma.; Equilid 50 mg é um medicamento que tem na sua composição cloridrato de equilina, um composto que age como um relaxante muscular. Como todos os relaxantes, Equilid 50 mg pode causar, em alguns casos, dores musculares, fraqueza, cansaço, sensação de fadiga, dor de cabeça, tontura, náusea, vômito, diarreia, prisão de ventre, boca seca, perda de apetite, alterações menstruais, aumento de peso, diminuição da libido, alterações na pele, dor nas articulações, dor nas costas, dor nas juntas, dor nas pernas, dor nas mãos, dores nas juntas, dores musculares, dores nas articulações, dores nas costas, dor de cabeça, dores nas pernas, dor no peito, dores musculares, dores nas juntas, dores nas articulações, dores nas costas, dores nas juntas, dores
394;Litocit;Como Litocit atua no organismo para produzir seus efeitos?;Nos pacientes com os mecanismos de excreção de potássio alterados, Litocit pode produzir hipercalemia e até parada cardíaca, devendo o seu uso ser evitado.; Como Litocit atua no organismo para produzir seus efeitos, você deve ser utilizado de acordo com as seguintes instruções: começar por lavar bem as mãos e as suas instruções com água e sabão neutro. Seguidamente, lavar o produto em água morna durante 30 minutos, enxaguando bem as mãos e a sua instrução. Após a limpeza, secando as mãos e a sua instrução com um lenço de papel. Por fim, colocar a instrução no frasco e agitar bem o produto.  Como Litocit atua no organismo para produzir seus efeitos, você deve ser utilizado de acordo com as seguintes instruções: começar por lavar bem as mãos e as suas instruções com água e sabão neutro. Seguidamente, lavar o produto em água morna durante 30 minutos, enxaguando bem as mãos e a sua instrução. Após a limpeza, secando as mãos e a sua
120;Aloxidil;Quais são os princípios do funcionamento de Aloxidil?;O uso do medicamento em caso de doença no coração deve ser cuidadoso.; Aloxidil é um medicamento que estimula a produção de cabelos e que ajuda a combater a calvície.  Aloxidil é um medicamento que atua sobre a calvície, estimulando a produção de cabelos e prevenindo a perda de cabelos.   Como usar Aloxidil pela primeira vez:  Antes de usar Aloxidil pela primeira vez, deve-se lavar bem o cabelo com água e sabonete neutro.  Depois de lavar o cabelo, deve-se aplicar uma pequena quantidade de Aloxidil no couro cabeludo, massageando com os dedos até que o produto seja completamente absorvido.  A aplicação de Aloxidil deve ser feita de manhã e à noite, com intervalo de 12 horas entre aplicações.  A duração do tratamento com Aloxidil deve ser indicada pelo médico, pois vai depender do tipo de problema a tratar e da resposta individual de cada paciente ao tratamento.   Aloxid
377;Daforin gotas;Como usar Daforin gotas?;Os efeitos mais comuns são boca seca, aumento da produção de suor, coceira na pele, diarreia, náusea, vômito, tremor, perda de peso, sonolência, cansaço, perda de cabelo e disfunção erétil.;" Para usar Daforin gotas, você deve: 1. Retirar a tampa protetora do frasco; 2. Encaixar o bico do frasco no adaptador; 3. Segurar o frasco com o dedo médio e o indicador sobre o bico e o polegar na base do frasco; 4. Pressionar o adaptador até você ver uma luz vermelha no bico do frasco. 5. Você deve agitar o frasco para misturar as gotas. 6. Você pode agora usar Daforin gotas.  Não use Daforin gotas se você já teve algum tipo de reação alérgica a qualquer um dos componentes da fórmula.  Daforin gotas deve ser usado exclusivamente por via oral.  A dose usual é de 1 a 2 gotas, 3 vezes ao dia, em intervalos de aproximadamente 8 horas.  A dose máxima diária é de 30 gotas.  A do"
373;Cardizem Cd;Qual é o propósito principal de Cardizem Cd na área da saúde?;A posologia deve ser ajustada de acordo com as necessidades de cada paciente. Recomenda-se uma dose inicial de 180 mg, podendo variar até 360 mg.;" O Cardizem Cd é um medicamento que tem como propósito principal o tratamento da pressão alta e do insuficiência cardíaca.  Outros propósitos secundários de Cardizem Cd podem incluir:  Tratamento da angina pectoris;	Tratamento da arritmia cardíaca;	Tratamento da insuficiência cardíaca congestiva;	Tratamento da doença coronária.  Outros medicamentos que fazem parte desta classe são:  Cardizem Sr;	Cardizem La;	Dilzem Cd.   Como usar Cardizem Cd pela primeira vez:  Se você não tiver usado Cardizem Cd antes, deve iniciar o tratamento com 1 comprimido de 12,5 mg, uma vez ao dia.  Se você já usou Cardizem Cd, deve iniciar o tratamento com o comprimido que corresponde ao seu esquema de dosagem.  Veja como melhorar o efeito deste remédio.   Os efeitos colaterais mais com"
631;Destilbenol 1 mg;Qual é o propósito principal de Destilbenol 1 mg na área da saúde?;No caso de câncer de próstata deve-se tomar:; Destilbenol é indicado como auxiliar no tratamento de problemas de saúde, como pressão alta, insuficiência cardíaca, problemas circulatórios, problemas de rins, problemas de fígado, problemas de coração, problemas de coágulos sanguíneos, problemas de pressão arterial, problemas de angina, problemas de arritmias, problemas de diabetes, problemas de glicemia, problemas de hipertensão, problemas de retenção de líquidos, problemas de inchaço, problemas de inflamação, problemas de dor, problemas de pressão intra-ocular, problemas de catarata, problemas de glaucoma, problemas de retenção de potássio, problemas de retenção de sódio, problemas de retenção de líquidos, problemas de inchaço, problemas de inflamação, problemas de dor, problemas de pressão arterial, problemas de coágulos sanguíneos, problemas de fígado, problemas de coração, problemas de rins, problemas de hipertensão, problemas de glicemia, problemas de inchaço,
689;Ciclo 21;Quais são os processos biológicos desencadeados por Ciclo 21?;Antes de usar Ciclo 21, deverá falar com o seu médico se estiver grávida ou amamentando, tiver algum problema de saúde como diabetes, pressão alta, enxaqueca ou epilepsia, tiver fatores de risco como excesso de peso, ser fumador ou idade avançada, historial familiar de níveis altos de colesterol ou trigliceridos no sangue, tiver alguma doença grave, doenças ou problemas no coração, rins ou fígado ou se estiver a tomar outros medicamentos, incluindo medicamentos sem receita médica.; Ciclo 21 é um hormônio sexuado, produzido no pâncreas, que está envolvido em vários processos biológicos importantes, relacionados com a reprodução.  Os processos biológicos desencadeados por Ciclo 21 incluem: 1. Ovulação: Ciclo 21 é necessário para a liberação do óvulo do ovário. 2. Fertilização: Ciclo 21 é necessário para a formação do espermatozoide e da fórmula de fertilização. 3. Gestação: Ciclo 21 é necessário para a formação do útero e da placenta. 4. Desenvolvimento do bebê: Ciclo 21 é necessário para o crescimento do bebê, desde a fertilização até a nascença. 5. Função tireoidiana: Ciclo 21 é necessário para a regulação do metabolismo do tecido thyreóide. 6. Função esteroideiana: Ciclo 21 é necessário para a produ
