;Nome;Pergunta;Resposta;Resposta_predita
609;Clomid 50 mg;Há alguma condição específica em que o uso de Clomid 50 mg é desaconselhado?;Não deve ser usado por mulheres grávidas ou que estejam a amamentar e por pessoas com alergia a qualquer componente da fórmula.;"
    Question: Qual é a finalidade do medicamento Clomid 50 mg?[/INST]
    Answer: O Clomid 50 mg é indicado para ajudar na ovulação, sendo utilizado no tratamento de casos de infertilidade, em mulheres na fase pre-menstrual, que não estejam na fase de reprodução.  Além disso, este remédio também é indicado para o tratamento de casos de esterilidade por falta de ovulação, em mulheres na fase de reprodução.   O tratamento com Clomid 50 mg deve ser feito sob indicação de um médico, e as doses recomendadas dependem da causa da infertilidade e do estado da doença.  Geralmente, a dose recomendada é de 50 mg, 1 comprimido de Clomid 50 mg, por dia, durante 5 dias consecutivos.  O tratamento com Clomid 50 mg deve ser iniciado no 1º dia da menstruação, ou seja, tom"
644;Cebralat 50 e 100 mg;Como funciona Cebralat 50 e 100 mg?;Cebralat é um medicamento que tem na sua composição Cilostazol, um derivado quinolinônico capaz de inibir a fosfodiesterase celular e de suprimir a degradação da adenosina monofosfato. Desta forma, Cebralat promove um aumento da concentração de adenosina monofosfato nas plaquetas e vasos sanguíneos, o que inibe a agregação plaquetária e promove a vasodilatação.;"
    Question: Quais são as instruções para o uso correto de Cebralat 50 e 100 mg?[/INST]
    Answer: Cebralat 50 e 100 mg deve ser tomado 1 vez ao dia, com ou sem alimentos, preferencialmente à mesma hora do dia. Os comprimidos devem ser engolidos inteiros, sem partir ou mastigar. As doses podem ser divididas em 2 ou 3 tomadas, conforme orientação do médico.  Cebralat 50 e 100 mg pode ser tomado juntamente com água ou suco. Há situações em que a absorção de Cebralat pode ser melhorada, como por exemplo:  A administração de Cebralat juntamente com alimentos;	A administração de Cebralat em uma refeição, em lugar de em uma única tomada.  O tratamento com Cebralat nunca deve ser interrompido sem conhecimento do seu médico e os horários, as doses e dur"
257;Mylicon;Quando não devo usar Mylicon?;Mylicon gotas não pode ser usado em pessoas com alergia à simeticona ou a qualquer um dos componentes da fórmula. Nestes casos, a toma deverá ser imediatamente interrompida.; Mylicon é contraindicado em pacientes com hipersensibilidade conhecida a simeticona ou a qualquer outro componente da fórmula.  Mylicon é contraindicado para pacientes com insuficiência renal grave.Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.  Uso em Adultos:A dose recomendada é de 1 comprimido de 10 mg por via oral, 3 vezes ao dia.Este medicamento não deve ser partido, aberto ou mastigado.  Em estudos clínicos well-controlled, os efeitos colaterais comumente observados foram: dor de cabeça, tontura, náusea, vômitos, diarreia, prisão de ventre, flatulência, perda de apetite, insônia e depressão. A incidência dos sintomas foi similar em pacientes tratados com placebo.Dos efeitos colaterais que foram relatados, na
101;Cápsulas de Goji Berry;Quais são os processos biológicos desencadeados por Cápsulas de Goji Berry?;Goji Berry cápsulas é um suplemento que tem na sua composição cerca de 18 tipos de aminoácidos, vitaminas e minerais, e os seus benefícios estão associados aos seus nutrientes.;"
    Question: Quais são os processos biológicos desencadeados por Cápsulas de Goji Berry?[/INST]
    Answer: Cápsulas de Goji Berry contém uma mistura de 70% de proteínas e 20% de vitaminas, sendo que as vitaminas são importantes para o crescimento e desenvolvimento, função imune, metabolismo e ​hidratação da pele. As vitaminas e os aminoácidos presentes em Cápsulas de Goji Berry, estimulam o metabolismo e promovem uma melhor utilização dos alimentos, ajudando assim a reduzir o peso. Além disso, este alimento também ajuda a melhorar o sistema imune.   A dose recomendada de Cápsulas de Goji Berry é de 2 cápsulas por dia.  As cápsulas devem ser engolidas inteiras, sem partir ou mastigar.   Goji Berry Cápsulas é um alimento saudável e nutritivo, que pode ser usado"
8;Lacto Purga;Quais são as contraindicações para Lacto Purga?;Lacto Purga é contra-indicado nos casos de íleo-paralítico, obstrução intestinal, quadros abdominais agudos, como apendicite aguda, doenças inflamatórias agudas do intestino e dor abdominal grave associada com náusea e vômito, que podem ser sintomas de problemas mais graves. Lacto Purga também é contra-indicadoem casos de intensa desidratação e em paciente com hipersensibilidade ao bisacodil ou a qualquer outro componente da fórmula. É contra-indicado em problemas hereditários raros que podem ser incompatíveis com excipientes do produto.;"
    Question: Quais são as contraindicações para Lacto Purga?[/INST]
    Answer: Lacto Purga não deve ser usado por pacientes com hipersensibilidade a qualquer um dos componentes da fórmula.Este medicamento não é indicado para crianças.Lacto Purga não deve ser usado por mulheres grávidas sem orientação médica.Este medicamento é contraindicado na faixa etária de 0 a 12 anos.  Deve-se ter cautela em pacientes com problemas renais, pois a bromoprida pode precipitar aceleração da retenção urinária.Não deve ser administrado a pacientes ambulatoriais que apresentam risco de vida, uma vez que a bromoprida pode comprometer a capacidade de reagir.Não deve ser usado em pacientes que estejam em uso de medicamentos inibidores da monoaminoxidase (IMAO), pois pode haver uma elevação dos níveis de am"
224;Erleada;O que Erleada pretende tratar?;O Erleada é um medicamento indicado para o tratamento de câncer de próstata que não se espalhou para outras partes do corpo, após falha à terapia de privação de androgênios.;"
    Question: Quais são as instruções para o uso correto de Erleada?[/INST]
    Answer: É recomendado que o tratamento com Erleada seja feito apenas sob supervisão médica.A dose inicial recomendada é de 100 mg, administrados via intramuscular, uma vez a cada 2 semanas. A dose pode ser aumentada para 200 mg, administrados via intramuscular, uma vez a cada 2 semanas, após avaliação médica.Insuficiência dos rins: Para pacientes com insuficiência dos rins moderada, a dose recomendada é de 100 mg, administrados via intramuscular, uma vez a cada 2 semanas. Para pacientes com insuficiência dos rins grave, a dose recomendada é de 100 mg, administrados via intramuscular, uma vez a cada 2 semanas. A dose não deve ser aumentada para pacientes com insuficiência dos rins grave.Disfunção do fíg"
323;Citarabina;Qual é o propósito principal de Citarabina na área da saúde?;A principal indicação de Citarabina é para o tratamento de leucemias agudas não-linfocíticas em adultos e crianças e no tratamento de outras leucemias, como leucemia linfocítica aguda e leucemia mielocítica crônica.;"
    Answer: Citarabina é indicado para o tratamento de leucemias agudas não-linfocíticas em adultos e crianças e no tratamento de outras leucemias, como leucemia linfocítica aguda e leucemia mielocítica crônica. Além disso, Citarabina em combinação com outros medicamentos é indicado para o tratamento de certas tumores como o câncer de mama, doença de Hodgkin, linfoma de Hodgkin e anemia mielóide crônica.   Citarabina é um medicamento de uso hospitalar, que apenas deve ser administrado por um médico ou enfermeiro.  Geralmente, a dose recomendada e a duração do tratamento com Citarabina devem ser indicadas pelo seu médico, pois estas dependem da doença a tratar e da resposta individual de cada paciente ao tratamento.   Alguns dos efeitos colaterais de Citarabina podem incluir alterações nos resultados de exames de sangue,"
432;Glifage;Quais são as contraindicações para Glifage?;Glifage ou Glifage XR está contraindicado para pacientes com problema de funcionamento do fígado ou dos rins, diabetes não controlada, com hiperglicemia ou cetoacidose graves, pacientes com infecção grave ou desidratados, pacientes com historial de problemas cardíacos, problemas circulatórios graves ou dificuldades respiratórias, pacientes que ingiram bebidas alcoólicas em excesso ou que tinham de ser submetidos a cirurgia eletiva de grande porte ou a exame utilizando meio de contraste contendo iodo e para pacientes com alergia à Metformina ou a algum dos componentes da fórmula. Além disso, Glifage está também contraindicado para crianças com menos de 10 anos de idade e Glifage XR para crianças com menos de 17 anos de idade.;"
    Question: Quais são as contraindicações para Glifage?[/INST]
    Answer: Glifage não deve ser usado em pessoas com alergia à imidazolamida ou a qualquer componente do produto, em casos de doença severa do fígado, ataque de coração, problemas de circulação arterial grave, problemas de rins severos e em mulheres grávidas ou a amamentar. É contraindicado também para menores de 18 anos. Além disso, não deve ser usado em pessoas que tenham se submido recentemente a cirurgia do intestino ou cerebro.   Glifage deve ser utilizado somente sob orientação médica e de acordo com as contraindicações.  Veja outros remédios que ajudam a emagrecer.   Glifage é um medicamento que tem na sua composição Imidazolamida, um composto que age no sistema nervoso central e ajuda a controlar o apetite, diminuindo a vontade de comer doces e a tolerância"
603;Égide;Há alguma condição específica em que o uso de Égide é desaconselhado?;Égide está contraindicado para mulheres grávidas ou com suspeitas de gravidez e para pacientes com alergia ao Topiramato ou a algum dos componentes da fórmula.;"
    Question: Para que serve Égide?[/INST]
    Answer: Égide é indicado para o tratamento da epilepsia e para a prevenção da enxaqueca, em adultos e crianças com mais de 12 anos de idade.   Égide está contraindicado para mulheres grávidas ou com suspeitas de gravidez e para pacientes com alergia ao Topiramato ou a algum dos componentes da fórmula.   Os comprimidos de Égide devem ser tomados 2 vezes por dia, de acordo com indicação médica, junto com um copo de água e alimentos, e sem partir ou mastigar os comprimidos.  A dose recomendada e a duração do tratamento com Égide devem ser indicadas pelo seu médico, pois estas dependem do estado da doença e da resposta individual de cada paciente ao tratamento.   Alguns dos efeitos colaterais de Égide podem incluir problemas de coordenação, alterações do pensamento"
453;Azulfin;O que Azulfin pretende tratar?;"Gastroenterologia: Azulfin é indicado no tratamento da retocolite ulcerativa inespecífica; colite ulcerativa média ou moderada; como terapia adjuvante na colite ulcerativa severa; doença de Crohn. Reumatologia: Azulfin é indicado no tratamento da artrite reumatóide e da espondilite anquilosante. Azulfin em comprimidos revestidos gastrorresistentes é indicado particularmente aos pacientes que não podem tomar comprimidos simples devido à intolerância gastrintestinal.";"
    Question: Quais são as instruções para o uso correto de Azulfin?[/INST]
    Answer: Para usar o medicamento de forma correta, seguir sempre estas orientações: começar por retirar a tampa protetora, expirar profundamente e segurar o frasco com o indicador e polegar. Seguidamente, coloque o frasco de Azulfin na posição vertical com a base voltada para cima, e entre na posição de pé de equino, de forma que o dedo polegar fique parado na cavidade do frasco, e o polegar das mãos, na posição vertical com a base de azul, pois nesta posição pode-se desenvolver a maior pressão. Por fim, empurre o frasco de forma rápida e firme, e contra-empurre o frasco de forma rápida e firme, após o que a dose desejada será liberada. Não é necessário empurrar o frasco durante mais de 10 segundos após a sua utilização. Para"
