ID,Score
59,3.6
60,2.4
214,8.6
639,3.8
8,2.4
101,10.0
601,3.9
161,6.5
467,2.9
510,6.2
687,0.7
570,0.0
452,5.3
521,4.2
516,0.9
345,4.4
629,1.2
248,1.6
578,5.0
589,5.6
61,4.4
638,4.0
654,3.1
425,0.0
262,1.2
181,1.8
657,3.3
590,2.5
445,2.1
453,4.3
23,3.1
69,5.0
575,5.5
517,4.8
224,5.0
377,7.5
307,3.1
619,5.6
299,5.6
703,2.5
148,4.4
540,2.7
382,1.7
273,5.0
388,6.6
591,1.2
597,4.6
56,0.0
81,4.6
484,1.9
544,5.0
609,2.1
349,0.9
134,4.2
480,3.3
565,2.4
19,2.9
47,2.3
347,0.0
371,2.1
218,1.7
664,4.0
242,3.1
634,3.5
643,2.6
698,2.5
331,2.2
346,3.8
65,3.9
334,2.4
207,6.7
433,6.5
