ID,Score
59,0.9
60,0.5
214,2.3
639,2.4
8,1.0
101,5.0
601,0.5
161,4.5
467,0.0
510,2.5
687,0.5
570,1.4
452,2.7
521,2.1
516,0.1
345,1.5
629,1.5
248,2.2
578,0.0
589,1.9
61,1.9
638,1.0
654,0.0
425,0.0
262,1.5
181,0.0
657,1.9
590,2.5
445,0.4
453,0.8
23,3.8
69,3.1
575,0.5
517,0.6
224,2.6
377,0.8
307,0.3
619,3.1
299,1.1
703,2.8
148,2.2
540,1.2
382,1.7
273,5.0
388,0.9
591,2.3
597,2.9
56,0.0
81,2.5
484,0.6
544,2.1
609,0.8
349,0.4
134,2.9
480,3.3
565,1.9
19,0.4
47,3.1
347,1.8
371,0.3
218,2.3
664,0.3
242,1.2
634,3.0
643,1.1
698,1.7
331,0.9
346,0.0
65,2.8
334,1.8
207,1.1
433,1.5
